Date,d,wm_yr_wk,weekday,month,year,Hobbies,Foods,HouseHold,event_name_1,event_type_1,event_name_2,event_type_2
2011-01-29,1,11101,Saturday,1,2011,3764.0,23178.0,5689.0,"","","",""
2011-01-30,2,11101,Sunday,1,2011,3357.0,22758.0,5634.0,"","","",""
2011-01-31,3,11101,Monday,1,2011,2682.0,17174.0,3927.0,"","","",""
2011-02-01,4,11101,Tuesday,2,2011,2669.0,18878.0,3865.0,"","","",""
2011-02-02,5,11101,Wednesday,2,2011,1814.0,14603.0,2729.0,"","","",""
2011-02-03,6,11101,Thursday,2,2011,3220.0,22093.0,3898.0,"","","",""
2011-02-04,7,11101,Friday,2,2011,2944.0,20490.0,4576.0,"","","",""
2011-02-05,8,11102,Saturday,2,2011,3986.0,27751.0,6195.0,"","","",""
2011-02-06,9,11102,Sunday,2,2011,2899.0,24862.0,4975.0,SuperBowl,Sporting,"",""
2011-02-07,10,11102,Monday,2,2011,2615.0,18901.0,4056.0,"","","",""
2011-02-08,11,11102,Tuesday,2,2011,2547.0,16963.0,3561.0,"","","",""
2011-02-09,12,11102,Wednesday,2,2011,2457.0,17655.0,3546.0,"","","",""
2011-02-10,13,11102,Thursday,2,2011,2700.0,17340.0,3716.0,"","","",""
2011-02-11,14,11102,Friday,2,2011,2822.0,19038.0,4585.0,"","","",""
2011-02-12,15,11103,Saturday,2,2011,3699.0,25187.0,5947.0,"","","",""
2011-02-13,16,11103,Sunday,2,2011,3417.0,26656.0,6307.0,"","","",""
2011-02-14,17,11103,Monday,2,2011,2233.0,16015.0,3556.0,ValentinesDay,Cultural,"",""
2011-02-15,18,11103,Tuesday,2,2011,2554.0,17425.0,4091.0,"","","",""
2011-02-16,19,11103,Wednesday,2,2011,2170.0,15351.0,3922.0,"","","",""
2011-02-17,20,11103,Thursday,2,2011,2049.0,14290.0,3979.0,"","","",""
2011-02-18,21,11103,Friday,2,2011,2284.0,16594.0,4843.0,"","","",""
2011-02-19,22,11104,Saturday,2,2011,4142.0,20938.0,6609.0,"","","",""
2011-02-20,23,11104,Sunday,2,2011,2978.0,20028.0,6277.0,"","","",""
2011-02-21,24,11104,Monday,2,2011,2735.0,16373.0,4858.0,PresidentsDay,National,"",""
2011-02-22,25,11104,Tuesday,2,2011,2459.0,14043.0,3999.0,"","","",""
2011-02-23,26,11104,Wednesday,2,2011,2758.0,13932.0,4067.0,"","","",""
2011-02-24,27,11104,Thursday,2,2011,2559.0,13733.0,3985.0,"","","",""
2011-02-25,28,11104,Friday,2,2011,2675.0,15480.0,4374.0,"","","",""
2011-02-26,29,11105,Saturday,2,2011,4088.0,19905.0,5915.0,"","","",""
2011-02-27,30,11105,Sunday,2,2011,2118.0,20660.0,5929.0,"","","",""
2011-02-28,31,11105,Monday,2,2011,1771.0,15066.0,4403.0,"","","",""
2011-03-01,32,11105,Tuesday,3,2011,1833.0,16568.0,4471.0,"","","",""
2011-03-02,33,11105,Wednesday,3,2011,1675.0,16218.0,4153.0,"","","",""
2011-03-03,34,11105,Thursday,3,2011,1855.0,17242.0,4378.0,"","","",""
2011-03-04,35,11105,Friday,3,2011,1653.0,17512.0,4407.0,"","","",""
2011-03-05,36,11106,Saturday,3,2011,2096.0,23072.0,6034.0,"","","",""
2011-03-06,37,11106,Sunday,3,2011,3795.0,24909.0,6172.0,"","","",""
2011-03-07,38,11106,Monday,3,2011,2687.0,17588.0,4287.0,"","","",""
2011-03-08,39,11106,Tuesday,3,2011,2519.0,16280.0,3953.0,"","","",""
2011-03-09,40,11106,Wednesday,3,2011,2955.0,16039.0,3566.0,LentStart,Religious,"",""
2011-03-10,41,11106,Thursday,3,2011,2686.0,16007.0,3933.0,"","","",""
2011-03-11,42,11106,Friday,3,2011,2688.0,18125.0,4759.0,"","","",""
2011-03-12,43,11107,Saturday,3,2011,3630.0,22545.0,6050.0,"","","",""
2011-03-13,44,11107,Sunday,3,2011,3282.0,22239.0,5896.0,"","","",""
2011-03-14,45,11107,Monday,3,2011,2500.0,17859.0,4576.0,"","","",""
2011-03-15,46,11107,Tuesday,3,2011,2522.0,17284.0,4215.0,"","","",""
2011-03-16,47,11107,Wednesday,3,2011,2736.0,15685.0,4344.0,LentWeek2,Religious,"",""
2011-03-17,48,11107,Thursday,3,2011,2434.0,15081.0,4264.0,StPatricksDay,Cultural,"",""
2011-03-18,49,11107,Friday,3,2011,2687.0,16267.0,4901.0,"","","",""
2011-03-19,50,11108,Saturday,3,2011,3702.0,20467.0,6430.0,"","","",""
2011-03-20,51,11108,Sunday,3,2011,3174.0,20289.0,6180.0,Purim End,Religious,"",""
2011-03-21,52,11108,Monday,3,2011,2499.0,15973.0,4629.0,"","","",""
2011-03-22,53,11108,Tuesday,3,2011,2303.0,14176.0,4013.0,"","","",""
2011-03-23,54,11108,Wednesday,3,2011,2384.0,13214.0,3632.0,"","","",""
2011-03-24,55,11108,Thursday,3,2011,2347.0,12959.0,3548.0,"","","",""
2011-03-25,56,11108,Friday,3,2011,3239.0,15485.0,4626.0,"","","",""
2011-03-26,57,11109,Saturday,3,2011,3524.0,19943.0,6153.0,"","","",""
2011-03-27,58,11109,Sunday,3,2011,3537.0,20229.0,6100.0,"","","",""
2011-03-28,59,11109,Monday,3,2011,2738.0,14704.0,4007.0,"","","",""
2011-03-29,60,11109,Tuesday,3,2011,2388.0,13389.0,3804.0,"","","",""
2011-03-30,61,11109,Wednesday,3,2011,2503.0,12891.0,3534.0,"","","",""
2011-03-31,62,11109,Thursday,3,2011,3120.0,14675.0,3947.0,"","","",""
2011-04-01,63,11109,Friday,4,2011,3544.0,19357.0,5408.0,"","","",""
2011-04-02,64,11110,Saturday,4,2011,3996.0,22603.0,6879.0,"","","",""
2011-04-03,65,11110,Sunday,4,2011,3504.0,23396.0,6158.0,"","","",""
